,Район,Цена,Количество комнат,Общая площадь,Площадь кухни,Этаж,Балкон или лоджия,Тип комнат,Санузел,Ремонт,Мебель,Техника,Интернет и ТВ,Можно с детьми,Можно с животными,Можно курить,Тип дома,Этажей в доме,Пассажирский лифт,Грузовой лифт,Парковка,Лифт,Улица
89,р-н Центральный,12000.0,1,54.0,12.0,4,,,,евро,кухня,"холодильник, плита, стиральная машина",,0,0,0,кирпичный,10,0,1,за шлагбаумом во дворе,1,ул. Гайдара
90,р-н Центральный,10000.0,1,47.5,11.0,12,балкон,,совмещенный,евро,,,,0,0,0,монолитный,17,1,1,открытая во дворе,1,пр-т Анатолия Дериглазова
91,р-н Центральный,30000.0,3,100.0,10.0,10,лоджия,изолированные,раздельный,евро,,"кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор",Wi-Fi,1,0,1,кирпичный,10,1,0,открытая во дворе,1,ул. Карла Маркса
92,р-н Центральный,12000.0,1,41.3,12.0,8,,,раздельный,косметический,,,,1,1,0,кирпичный,10,0,0,,0,ул. Щепкина
93,р-н Сеймский,14000.0,3,61.0,11.0,5,"балкон, лоджия",изолированные,раздельный,косметический,"хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",0,1,0,панельный,9,0,0,,0,пр-т Ленинского Комсомола
94,р-н Центральный,12000.0,2,48.0,8.0,6,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,1,0,0,кирпичный,6,0,0,,0,Институтская ул.
95,р-н Центральный,7000.0,1,39.0,9.0,2,балкон,,совмещенный,косметический,,,,1,0,0,панельный,17,1,1,,1,пр-т Анатолия Дериглазова
96,р-н Центральный,8000.0,1,38.0,9.5,9,балкон,,совмещенный,косметический,,,,1,0,0,панельный,17,1,1,,1,пр-т Победы
97,р-н Центральный,15000.0,1,50.0,14.0,8,,,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",,0,0,0,монолитный,10,0,0,,0,пр-т Победы
98,р-н Центральный,8000.0,1,39.0,10.0,6,,,,косметический,,,,1,1,0,панельный,17,0,0,,0,пр-т Победы
99,р-н Центральный,17000.0,2,61.0,11.0,7,балкон,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор","Wi-Fi, телевидение",1,0,0,панельный,17,1,1,открытая во дворе,1,пр-т Победы
