,Адрес,Район,Цена,Количество комнат,Общая площадь,Площадь кухни,Этаж,Балкон или лоджия,Тип комнат,Санузел,Ремонт,Мебель,Техника,Интернет и ТВ,Можно с детьми,Можно с животными,Можно курить,Максимум гостей,Тип дома,Этажей в доме,Пассажирский лифт,Грузовой лифт,Парковка
42,"Курская область, Курск, ул. Димитрова, 75",р-н Центральный,16 000 ₽ в месяц,2,61 м²,8.5 м²,9 из 9,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",телевидение,да,нет,нет,,панельный,9,1,,открытая во дворе
43,"Курская область, Курск, ул. Блинова, 13/15",р-н Центральный,13 000 ₽ в месяц,1,34 м²,7 м²,6 из 9,,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, стиральная машина",Wi-Fi,нет,нет,,,кирпичный,9,,,
44,"Курская область, Курск, пр-т Вячеслава Клыкова, 85",р-н Центральный,9 000 ₽ в месяц,1,39 м²,10 м²,7 из 17,лоджия,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина",,нет,нет,нет,,панельный,17,1,1,открытая во дворе
45,"Курская область, Курск, пр-т Победы, 42",р-н Центральный,10 000 ₽ в месяц,1,38 м²,9 м²,7 из 16,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,да,нет,нет,,панельный,16,1,1,открытая во дворе
46,"Курская область, Курск, Магистральный пр., 10",р-н Сеймский,15 000 ₽ в месяц,3,52 м²,9 м²,3 из 5,,изолированные,,косметический,"кухня, хранение одежды, спальные места","холодильник, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",да,нет,,,кирпичный,5,1,,открытая во дворе
47,"Курская область, Курск, ул. Радищева, 86",р-н Центральный,18 000 ₽ в месяц,1,37 м²,7 м²,5 из 9,,,,евро,"кухня, хранение одежды","холодильник, плита, микроволновка, стиральная машина, телевизор",,да,нет,,,панельный,9,1,,открытая во дворе
48,"Курская область, Курск, ул. Домостроителей, 1",р-н Центральный,11 000 ₽ в месяц,2,59 м²,11 м²,6 из 17,лоджия,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,да,нет,нет,,панельный,17,1,1,открытая во дворе
49,"Курская область, Курск, Центральный округ, пр-т Дружбы, 13",р-н Центральный,12 000 ₽ в месяц,2,57 м²,9 м²,8 из 9,лоджия,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",,да,да,да,,панельный,9,1,,
50,"Курская область, Курск, ул. Ленина, 108",р-н Центральный,17 000 ₽ в месяц,1,38 м²,10 м²,3 из 4,,,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",Wi-Fi,да,нет,нет,,блочный,4,нет,нет,за шлагбаумом во дворе
51,"Курская область, Курск, пр-т Анатолия Дериглазова, 43А",р-н Центральный,15 000 ₽ в месяц,2,59.6 м²,11 м²,15 из 17,"балкон, лоджия",изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",Wi-Fi,да,нет,,,панельный,17,,,
52,"Курская область, Курск, ул. Карла Либкнехта, 4",р-н Центральный,10 000 ₽ в месяц,2,45 м²,8 м²,8 из 9,балкон,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина",,да,нет,нет,,панельный,9,1,нет,открытая во дворе
